End Date,End Time,NO2,Status/units,NO2,Status/units,NO2,Status/units,NO2,Status/units,NO2,Status/units,NO2,Status/units,NO2,Status/units,NO2,Status/units,NO2,Status/units,NO2,Status/units,NO2,Status/units,NO2,Status/units,NO2,Status/units
01-01-2021,01:00:00,22.61433,R ugm-3,27.04954,R ugm-3,28.35369,R ugm-3,39.77706,R ugm-3,21.51916,R ugm-3,17.06444,R ugm-3,24.8457,R ugm-3,16.93883,R ugm-3,21.65101,R ugm-3,17.15938,R ugm-3,20.99867,R ugm-3,37.58916,R ugm-3,29.53939,R ugm-3
01-01-2021,02:00:00,25.12337,R ugm-3,29.82685,R ugm-3,25.03474,R ugm-3,33.99941,R ugm-3,15.19117,R ugm-3,19.14258,R ugm-3,20.14728,R ugm-3,21.89902,R ugm-3,30.42826,R ugm-3,,,26.71965,R ugm-3,31.51459,R ugm-3,24.82555,R ugm-3
01-01-2021,03:00:00,13.95652,R ugm-3,17.87346,R ugm-3,22.63855,R ugm-3,30.19107,R ugm-3,13.48811,R ugm-3,19.22149,R ugm-3,22.26946,R ugm-3,20.41308,R ugm-3,19.81852,R ugm-3,13.57075,R ugm-3,21.01699,R ugm-3,25.61294,R ugm-3,22.08147,R ugm-3
01-01-2021,04:00:00,12.19039,R ugm-3,16.69641,R ugm-3,52.45771,R ugm-3,33.60737,R ugm-3,15.37172,R ugm-3,14.54596,R ugm-3,17.83676,R ugm-3,16.64035,R ugm-3,19.37004,R ugm-3,10.17952,R ugm-3,26.59591,R ugm-3,24.37887,R ugm-3,23.44331,R ugm-3
01-01-2021,05:00:00,13.42547,R ugm-3,18.42172,R ugm-3,75.17713,R ugm-3,30.9056,R ugm-3,15.53252,R ugm-3,13.36551,R ugm-3,26.01874,R ugm-3,14.51322,R ugm-3,20.72844,R ugm-3,7.88033,R ugm-3,27.38453,R ugm-3,16.40145,R ugm-3,25.70885,R ugm-3
01-01-2021,06:00:00,19.1352,R ugm-3,14.90586,R ugm-3,54.70735,R ugm-3,21.72434,R ugm-3,11.6972,R ugm-3,12.46817,R ugm-3,25.50805,R ugm-3,12.70559,R ugm-3,16.6376,R ugm-3,17.5906,R ugm-3,23.7544,R ugm-3,22.65866,R ugm-3,23.18209,R ugm-3
01-01-2021,07:00:00,25.73606,R ugm-3,14.164,R ugm-3,66.27489,R ugm-3,30.19008,R ugm-3,14.91028,R ugm-3,12.98736,R ugm-3,27.84591,R ugm-3,15.94834,R ugm-3,16.94716,R ugm-3,23.98199,R ugm-3,24.15303,R ugm-3,23.68306,R ugm-3,21.24034,R ugm-3
01-01-2021,08:00:00,26.26206,R ugm-3,19.39621,R ugm-3,72.88571,R ugm-3,34.52555,R ugm-3,19.55509,R ugm-3,13.60111,R ugm-3,32.55692,R ugm-3,16.31983,R ugm-3,18.5106,R ugm-3,22.77105,R ugm-3,28.08053,R ugm-3,21.96614,R ugm-3,23.56685,R ugm-3
01-01-2021,09:00:00,27.20749,R ugm-3,22.43484,R ugm-3,73.04956,R ugm-3,42.276,R ugm-3,19.91773,R ugm-3,14.78156,R ugm-3,30.16807,R ugm-3,14.45799,R ugm-3,20.63106,R ugm-3,20.38737,R ugm-3,29.03062,R ugm-3,24.58456,R ugm-3,24.86772,R ugm-3
01-01-2021,10:00:00,27.76426,R ugm-3,27.49138,R ugm-3,55.11739,R ugm-3,44.46795,R ugm-3,19.39801,R ugm-3,14.54294,R ugm-3,31.42084,R ugm-3,13.28845,R ugm-3,21.27117,R ugm-3,21.08833,R ugm-3,34.71777,R ugm-3,23.1596,R ugm-3,30.04458,R ugm-3
01-01-2021,11:00:00,25.1287,R ugm-3,23.92347,R ugm-3,64.21895,R ugm-3,40.84786,R ugm-3,20.87688,R ugm-3,19.02548,R ugm-3,28.35412,R ugm-3,17.59307,R ugm-3,18.69776,R ugm-3,18.12815,R ugm-3,36.02664,R ugm-3,21.30386,R ugm-3,30.94063,R ugm-3
01-01-2021,12:00:00,27.14379,R ugm-3,24.29975,R ugm-3,65.27905,R ugm-3,39.51977,R ugm-3,23.56944,R ugm-3,21.61812,R ugm-3,32.96031,R ugm-3,19.34327,R ugm-3,22.11005,R ugm-3,21.68837,R ugm-3,37.11468,R ugm-3,24.11775,R ugm-3,28.34016,R ugm-3
01-01-2021,13:00:00,30.21996,R ugm-3,26.81333,R ugm-3,68.24768,R ugm-3,37.68293,R ugm-3,24.01522,R ugm-3,21.51978,R ugm-3,34.7287,R ugm-3,21.83336,R ugm-3,23.94104,R ugm-3,24.37408,R ugm-3,36.63842,R ugm-3,28.58998,R ugm-3,29.64021,R ugm-3
01-01-2021,14:00:00,33.84434,R ugm-3,33.69099,R ugm-3,56.51908,R ugm-3,36.81502,R ugm-3,26.25192,R ugm-3,26.6087,R ugm-3,37.68689,R ugm-3,23.53214,R ugm-3,29.06284,R ugm-3,26.57791,R ugm-3,40.15931,R ugm-3,31.25019,R ugm-3,28.97862,R ugm-3
01-01-2021,15:00:00,35.03924,R ugm-3,38.58082,R ugm-3,69.72353,R ugm-3,40.5908,R ugm-3,30.63369,R ugm-3,24.02286,R ugm-3,41.27973,R ugm-3,25.81262,R ugm-3,28.87747,R ugm-3,28.44756,R ugm-3,39.55836,R ugm-3,31.15117,R ugm-3,33.92275,R ugm-3
01-01-2021,16:00:00,38.72194,R ugm-3,35.34015,R ugm-3,76.56141,R ugm-3,45.84207,R ugm-3,32.74965,R ugm-3,25.86977,R ugm-3,44.24978,R ugm-3,28.20458,R ugm-3,32.1794,R ugm-3,30.85072,R ugm-3,38.07461,R ugm-3,37.89849,R ugm-3,34.69431,R ugm-3
01-01-2021,17:00:00,41.27027,R ugm-3,38.20401,R ugm-3,64.85762,R ugm-3,47.27138,R ugm-3,32.8702,R ugm-3,30.21117,R ugm-3,45.96508,R ugm-3,30.01383,R ugm-3,34.718,R ugm-3,31.50286,R ugm-3,43.94627,R ugm-3,39.9762,R ugm-3,33.23523,R ugm-3
01-01-2021,18:00:00,41.45939,R ugm-3,36.67019,R ugm-3,70.97218,R ugm-3,44.10964,R ugm-3,36.57913,R ugm-3,30.02441,R ugm-3,46.83039,R ugm-3,31.86685,R ugm-3,36.70487,R ugm-3,31.42344,R ugm-3,41.71404,R ugm-3,38.7725,R ugm-3,35.19559,R ugm-3
01-01-2021,19:00:00,41.60682,R ugm-3,43.57243,R ugm-3,43.85754,R ugm-3,41.05145,R ugm-3,30.87214,R ugm-3,26.62909,R ugm-3,47.44059,R ugm-3,32.59718,R ugm-3,36.05357,R ugm-3,31.99691,R ugm-3,39.32475,R ugm-3,39.43559,R ugm-3,31.79559,R ugm-3
01-01-2021,20:00:00,40.90817,R ugm-3,39.60082,R ugm-3,41.00719,R ugm-3,37.37966,R ugm-3,27.102,R ugm-3,26.91334,R ugm-3,45.59587,R ugm-3,32.32823,R ugm-3,35.44433,R ugm-3,32.00247,R ugm-3,33.29582,R ugm-3,41.84235,R ugm-3,33.52002,R ugm-3
01-01-2021,21:00:00,34.19668,R ugm-3,31.93367,R ugm-3,39.80626,R ugm-3,31.46301,R ugm-3,16.44372,R ugm-3,23.79887,R ugm-3,35.68105,R ugm-3,26.9475,R ugm-3,28.4701,R ugm-3,29.02736,R ugm-3,25.81454,R ugm-3,37.73342,R ugm-3,30.283,R ugm-3
