End Date,End Time,Co,Status/units,CO,Status/units,CO,Status/units,Co,Status/units
01-01-2021,01:00:00,,,0.140844,R mgm-3,0.263926,R mgm-3,,
01-01-2021,02:00:00,,,0.129106,R mgm-3,0.294213,R mgm-3,,
01-01-2021,03:00:00,,,0.114435,R mgm-3,0.27258,R mgm-3,,
01-01-2021,04:00:00,,,0.082159,R mgm-3,0.321255,R mgm-3,,
01-01-2021,05:00:00,,,0.105633,R mgm-3,0.314765,R mgm-3,,
01-01-2021,06:00:00,,,0.093896,R mgm-3,0.30503,R mgm-3,,
01-01-2021,07:00:00,,,0.088027,R mgm-3,0.33099,R mgm-3,,
01-01-2021,08:00:00,,,0.093896,R mgm-3,0.30503,R mgm-3,,
01-01-2021,09:00:00,,,0.093896,R mgm-3,0.3245,R mgm-3,,
01-01-2021,10:00:00,,,0.105633,R mgm-3,0.347215,R mgm-3,,
01-01-2021,11:00:00,,,0.111501,R mgm-3,0.360195,R mgm-3,,
01-01-2021,12:00:00,,,0.132041,R mgm-3,0.399135,R mgm-3,,
01-01-2021,13:00:00,,,0.161384,R mgm-3,0.405625,R mgm-3,,
01-01-2021,14:00:00,,,0.202463,R mgm-3,0.489995,R mgm-3,,
01-01-2021,15:00:00,,,0.228871,R mgm-3,0.528934,R mgm-3,,
01-01-2021,16:00:00,,,0.246476,R mgm-3,0.554895,R mgm-3,,
01-01-2021,17:00:00,,,0.240608,R mgm-3,0.57112,R mgm-3,,
01-01-2021,18:00:00,,,0.24941,R mgm-3,0.408871,R mgm-3,,
01-01-2021,19:00:00,,,0.26995,R mgm-3,0.36993,R mgm-3,,
01-01-2021,20:00:00,,,0.264081,R mgm-3,0.275825,R mgm-3,,
01-01-2021,21:00:00,,,0.240608,R mgm-3,0.17523,R mgm-3,,
01-01-2021,22:00:00,,,0.164318,R mgm-3,0.139535,R mgm-3,,
01-01-2021,23:00:00,,,0.140844,R mgm-3,0.09735,R mgm-3,,
01-01-2021,24:00:00,,,0.134975,R mgm-3,0.07788,R mgm-3,,
02-01-2021,01:00:00,,,0.148668,R mgm-3,0.116727,R mgm-3,,
02-01-2021,02:00:00,,,0.136931,R mgm-3,0.077819,R mgm-3,,
02-01-2021,03:00:00,,,0.120304,R mgm-3,0.074575,R mgm-3,,
02-01-2021,04:00:00,,,0.105633,R mgm-3,0.090788,R mgm-3,,
02-01-2021,05:00:00,,,0.090961,R mgm-3,0.090788,R mgm-3,,
02-01-2021,06:00:00,,,0.099764,R mgm-3,0.09403,R mgm-3,,
02-01-2021,07:00:00,,,0.11737,R mgm-3,0.11997,R mgm-3,,
02-01-2021,08:00:00,,,0.114435,R mgm-3,0.113485,R mgm-3,,
02-01-2021,09:00:00,,,0.111501,R mgm-3,0.145909,R mgm-3,,
02-01-2021,10:00:00,,,0.114435,R mgm-3,0.178333,R mgm-3,,
02-01-2021,11:00:00,,,0.140844,R mgm-3,0.223727,R mgm-3,,
02-01-2021,12:00:00,,,0.123239,R mgm-3,0.226969,R mgm-3,,
02-01-2021,13:00:00,,,0.105633,R mgm-3,0.210757,R mgm-3,,
02-01-2021,14:00:00,,,0.070421,R mgm-3,0.239939,R mgm-3,,
02-01-2021,15:00:00,,,0.09683,R mgm-3,0.252908,R mgm-3,,
02-01-2021,16:00:00,,,0.120304,R mgm-3,0.311272,R mgm-3,,
02-01-2021,17:00:00,,,0.184857,R mgm-3,0.324243,R mgm-3,,
02-01-2021,18:00:00,,,0.217134,R mgm-3,0.392333,R mgm-3,,
02-01-2021,19:00:00,,,0.272884,R mgm-3,0.460424,R mgm-3,,
02-01-2021,20:00:00,,,0.196594,R mgm-3,0.505818,R mgm-3,,
02-01-2021,21:00:00,,,0.170186,R mgm-3,0.457181,R mgm-3,,
02-01-2021,22:00:00,,,0.170186,R mgm-3,0.405302,R mgm-3,,
02-01-2021,23:00:00,,,0.15258,R mgm-3,0.408545,R mgm-3,,
02-01-2021,24:00:00,,,0.11737,R mgm-3,0.317757,R mgm-3,,
03-01-2021,01:00:00,,,0.093896,R mgm-3,0.181431,R mgm-3,,
03-01-2021,02:00:00,,,0.070421,R mgm-3,0.103676,R mgm-3,,
03-01-2021,03:00:00,,,0.067488,R mgm-3,0.077756,R mgm-3,,
03-01-2021,04:00:00,,,0.07629,R mgm-3,0.080996,R mgm-3,,
03-01-2021,05:00:00,,,0.114435,R mgm-3,0.090716,R mgm-3,,
03-01-2021,06:00:00,,,0.099764,R mgm-3,0.087476,R mgm-3,,
03-01-2021,07:00:00,,,0.11737,R mgm-3,0.090716,R mgm-3,,
03-01-2021,08:00:00,,,0.11737,R mgm-3,0.093956,R mgm-3,,
03-01-2021,09:00:00,,,0.126173,R mgm-3,0.093956,R mgm-3,,
03-01-2021,10:00:00,,,0.120304,R mgm-3,0.087476,R mgm-3,,
03-01-2021,11:00:00,,,0.120304,R mgm-3,0.093956,R mgm-3,,
03-01-2021,12:00:00,,,0.134975,R mgm-3,0.106914,R mgm-3,,
03-01-2021,13:00:00,,,0.134975,R mgm-3,0.110154,R mgm-3,,
03-01-2021,14:00:00,,,0.120304,R mgm-3,0.110154,R mgm-3,,
03-01-2021,15:00:00,,,0.137909,R mgm-3,0.116634,R mgm-3,,
03-01-2021,16:00:00,,,0.146712,R mgm-3,0.158753,R mgm-3,,
03-01-2021,17:00:00,,,0.155515,R mgm-3,0.110154,R mgm-3,,
03-01-2021,18:00:00,,,0.146712,R mgm-3,0.123114,R mgm-3,,
03-01-2021,19:00:00,,,0.149646,R mgm-3,0.132834,R mgm-3,,
03-01-2021,20:00:00,,,0.170186,R mgm-3,0.191151,R mgm-3,,
03-01-2021,21:00:00,,,0.17312,R mgm-3,0.22031,R mgm-3,,
03-01-2021,22:00:00,,,0.146712,R mgm-3,0.158753,R mgm-3,,
03-01-2021,23:00:00,,,0.132041,R mgm-3,0.139313,R mgm-3,,
03-01-2021,24:00:00,,,0.129106,R mgm-3,0.123114,R mgm-3,,
04-01-2021,01:00:00,,,0.105633,R mgm-3,0.09496,R mgm-3,,
04-01-2021,02:00:00,,,0.101721,R mgm-3,0.112225,R mgm-3,,
04-01-2021,03:00:00,,,0.090961,R mgm-3,0.123016,R mgm-3,,
04-01-2021,04:00:00,,,0.082159,R mgm-3,0.119779,R mgm-3,,
04-01-2021,05:00:00,,,0.079225,R mgm-3,0.132728,R mgm-3,,
04-01-2021,06:00:00,,,0.082159,R mgm-3,0.139202,R mgm-3,,
04-01-2021,07:00:00,,,0.090961,R mgm-3,0.12949,R mgm-3,,
04-01-2021,08:00:00,,,0.093896,R mgm-3,0.14244,R mgm-3,,
04-01-2021,09:00:00,,,0.099764,R mgm-3,0.123016,R mgm-3,,
04-01-2021,10:00:00,,,0.105633,R mgm-3,0.106829,R mgm-3,,
04-01-2021,11:00:00,,,0.108567,R mgm-3,0.084169,R mgm-3,,
04-01-2021,12:00:00,,,0.108567,R mgm-3,0.077694,R mgm-3,,
04-01-2021,13:00:00,,,0.102699,R mgm-3,0.090643,R mgm-3,,
04-01-2021,14:00:00,,,0.09683,R mgm-3,0.097118,R mgm-3,,
04-01-2021,15:00:00,,,0.090961,R mgm-3,0.090643,R mgm-3,,
04-01-2021,16:00:00,,,0.102699,R mgm-3,0.123016,R mgm-3,,
04-01-2021,17:00:00,,,0.093896,R mgm-3,0.14244,R mgm-3,,
04-01-2021,18:00:00,,,0.111501,R mgm-3,0.12949,R mgm-3,,
04-01-2021,19:00:00,,,0.099764,R mgm-3,0.155388,R mgm-3,,
04-01-2021,20:00:00,,,0.082159,R mgm-3,0.194236,R mgm-3,,
04-01-2021,21:00:00,,,0.093896,R mgm-3,0.20071,R mgm-3,,
