Date,Absorbing_Aerosol_Index_Mean
01-01-2019,-1.408019628
02-01-2019,-1.355480086
03-01-2019,-0.361660768
04-01-2019,-0.431539244
05-01-2019,-0.240010012
06-01-2019,-0.263543091
07-01-2019,-1.009591967
08-01-2019,-0.813398097
09-01-2019,-0.104243939
10-01-2019,-0.510017862
11-01-2019,-0.264926802
12-01-2019,-1.590917384
13-01-2019,-1.288016061
14-01-2019,-0.377463764
15-01-2019,-0.240003918
16-01-2019,-0.167087671
17-01-2019,-0.730958828
18-01-2019,-0.832016017
19-01-2019,-0.5935716
20-01-2019,-0.60003082
21-01-2019,-0.344174657
22-01-2019,-0.662084393
23-01-2019,-1.309965912
24-01-2019,-1.463813659
25-01-2019,-0.460317716
26-01-2019,-0.247328894
27-01-2019,-0.297842828
28-01-2019,-0.872196834
29-01-2019,-1.055503167
30-01-2019,-0.412747676
31-01-2019,-0.581842175
01-02-2019,-0.345240147
02-02-2019,-1.212586223
03-02-2019,-1.049788562
04-02-2019,-0.845673956
05-02-2019,-0.164157698
06-02-2019,-0.176473739
07-02-2019,-0.604255929
08-02-2019,-1.730554142
09-02-2019,-1.079771071
10-02-2019,-0.397538697
11-02-2019,-0.757510797
12-02-2019,-0.560177349
13-02-2019,-1.450876496
14-02-2019,-1.212528861
15-02-2019,-0.885195833
16-02-2019,-0.261740046
17-02-2019,-0.645076245
18-02-2019,-0.93196326
19-02-2019,-1.241500403
20-02-2019,-0.869115629
21-02-2019,-0.95269534
22-02-2019,-1.011246293
23-02-2019,-0.998006327
24-02-2019,-1.205713076
25-02-2019,-1.224210198
26-02-2019,-0.994428127
27-02-2019,-1.059400135
28-02-2019,-0.63702044
01-03-2019,-1.401175798
02-03-2019,-1.627670505
03-03-2019,-0.770508538
04-03-2019,-0.823938346
05-03-2019,-0.634614719
06-03-2019,-1.026787303
07-03-2019,-1.365026288
08-03-2019,-0.765939305
09-03-2019,-0.832665526
10-03-2019,-0.604057536
11-03-2019,-0.936947709
12-03-2019,-1.071018529
13-03-2019,-1.526433343
14-03-2019,-0.968344335
15-03-2019,-0.72839807
16-03-2019,-0.63069555
17-03-2019,-1.468142879
18-03-2019,-1.832430281
19-03-2019,-1.233354754
20-03-2019,-0.345983144
21-03-2019,-0.571784035
22-03-2019,-0.907264322
23-03-2019,-1.73008475
24-03-2019,-1.025751378
25-03-2019,-1.033782039
26-03-2019,-1.017524082
27-03-2019,-0.531032725
28-03-2019,-1.683931841
29-03-2019,-1.677743074
30-03-2019,-1.144823226
31-03-2019,-0.83161216
01-04-2019,-1.111243953
02-04-2019,
03-04-2019,
04-04-2019,-0.924678032
05-04-2019,-1.069803831
06-04-2019,-0.320729416
07-04-2019,-0.39877826
08-04-2019,-1.07283752
09-04-2019,-0.615391196
10-04-2019,-1.095822087
11-04-2019,-1.359430009
12-04-2019,-0.573165021
13-04-2019,-1.727120964
14-04-2019,-1.810146509
15-04-2019,
16-04-2019,-1.047528125
17-04-2019,-1.303987826
18-04-2019,-1.693729045
19-04-2019,-1.598798541
20-04-2019,-1.315523794
21-04-2019,-1.383214087
22-04-2019,-0.650458881
23-04-2019,-0.704309955
24-04-2019,-1.80068934
25-04-2019,-0.885024888
26-04-2019,-1.310805775
27-04-2019,-0.61524314
28-04-2019,-0.554461644
29-04-2019,-0.952433021
30-04-2019,-1.890105843
01-05-2019,-0.899707613
02-05-2019,-0.732017198
03-05-2019,-0.855684065
04-05-2019,-1.643526166
05-05-2019,-1.317964632
06-05-2019,-0.767200176
07-05-2019,-1.00591069
08-05-2019,-1.145464064
09-05-2019,-1.004208965
10-05-2019,-1.613944242
11-05-2019,-0.933125087
12-05-2019,-1.103111063
13-05-2019,-1.26573386
14-05-2019,-1.198375066
15-05-2019,-1.680351351
16-05-2019,-1.624464714
17-05-2019,-0.3081039
18-05-2019,-1.100940418
19-05-2019,-0.905754283
20-05-2019,-0.912088521
21-05-2019,-1.509817437
22-05-2019,-1.320144015
23-05-2019,-1.59392352
24-05-2019,-1.280941981
25-05-2019,-1.461362641
26-05-2019,-0.60757653
27-05-2019,-0.922131323
28-05-2019,-1.125066973
29-05-2019,-1.122719662
30-05-2019,-1.140522659
31-05-2019,-0.932367983
01-06-2019,-1.954451633
02-06-2019,-1.364104253
03-06-2019,-0.952055451
04-06-2019,-0.371410094
05-06-2019,-1.262674522
06-06-2019,-1.601457444
07-06-2019,-0.739996389
08-06-2019,-1.325901897
09-06-2019,-1.131272674
10-06-2019,-0.243863921
11-06-2019,-1.354167932
12-06-2019,-0.783234533
13-06-2019,-0.742221064
14-06-2019,-1.032447908
15-06-2019,-0.876065855
16-06-2019,-1.488989498
17-06-2019,-1.398321512
18-06-2019,-0.932582265
19-06-2019,-0.950468583
20-06-2019,-1.079992844
21-06-2019,-1.291277547
22-06-2019,-1.285729937
23-06-2019,-1.369053252
24-06-2019,-0.744721865
25-06-2019,-1.15972799
26-06-2019,-1.42554484
27-06-2019,-0.81148755
